date,store_location,product_id,sales_amount
2025-02-01,LosAngeles,P001,720
2025-02-02,LosAngeles,P002,960
2025-02-03,LosAngeles,P003,540
2025-02-04,LosAngeles,P004,720
2025-02-05,LosAngeles,P005,900
2025-02-06,LosAngeles,P001,720
2025-02-07,LosAngeles,P002,960
2025-02-08,LosAngeles,P003,540
2025-02-09,LosAngeles,P004,720
2025-02-01,Chicago,P005,575
2025-02-02,Chicago,P001,440
2025-02-03,Chicago,P002,420
2025-02-04,Chicago,P003,405
2025-02-05,Chicago,P004,440
2025-02-06,Chicago,P005,575
2025-02-07,Chicago,P001,540
2025-02-08,Chicago,P002,520
2025-02-09,Chicago,P003,405
2025-02-01,Houston,P004,580
2025-02-02,Houston,P005,600
2025-02-03,Houston,P001,580
2025-02-04,Houston,P002,640
2025-02-05,Houston,P003,460
2025-02-06,Houston,P004,480
2025-02-07,Houston,P005,600
2025-02-08,Houston,P001,580
2025-02-09,Houston,P002,640
2025-02-01,Seattle,P003,405
2025-02-02,Seattle,P004,440
2025-02-03,Seattle,P005,575
2025-02-04,Seattle,P001,440
2025-02-05,Seattle,P002,320
2025-02-06,Seattle,P003,405
2025-02-07,Seattle,P004,540
2025-02-08,Seattle,P005,575
2025-02-09,Seattle,P001,540
2025-02-01,NewYork,P002,560
2025-02-02,NewYork,P003,315
2025-02-03,NewYork,P004,420
2025-02-04,NewYork,P005,525
2025-02-05,NewYork,P001,420
2025-02-06,NewYork,P002,560
2025-02-07,NewYork,P003,315
2025-02-08,NewYork,P004,420
2025-02-09,NewYork,P005,525
